stevilka,domaca_ekipa,gostujoca_ekipa,rezultat,krog,datum,ura,liga
3058875,2039,2017,0-2,7,2019-9-28,16:00,4
3058876,7072,2053,1-0,7,2019-9-28,18:30,4
3058877,2036,2022,1-1,7,2019-9-29,18:30,4
3058878,2021,2028,3-2,7,2019-9-29,21:00,4
3058879,2023,2025,5-1,7,2019-9-27,21:00,4
3058880,2017,2021,4-0,8,2019-10-6,21:00,4
3058881,2025,2042,1-1,8,2019-10-4,21:00,4
3058882,2033,2019,1-0,8,2019-10-6,14:00,4
3058883,2053,2036,1-2,8,2019-10-5,13:00,4
3058884,2027,2032,2-0,8,2019-10-6,12:00,4
3058885,2022,2023,2-1,8,2019-10-5,21:00,4
3058886,2016,7072,4-2,8,2019-10-5,16:00,4
3058887,2028,2039,1-2,8,2019-10-6,18:30,4
3058888,2015,2037,2-1,8,2019-10-5,18:30,4
3058889,2031,2020,0-0,8,2019-10-6,16:00,4
3058890,2037,2033,2-0,9,2019-10-20,12:00,4
3058891,2019,2031,1-1,9,2019-10-20,18:30,4
3058892,2020,2015,1-1,9,2019-10-19,16:00,4
3058893,2042,2017,0-3,9,2019-10-19,13:00,4
3058894,2032,2023,0-1,9,2019-10-20,16:00,4
3058895,2039,2053,2-0,9,2019-10-19,18:30,4
3058896,7072,2022,1-0,9,2019-10-18,21:00,4
3058897,2027,2016,1-0,9,2019-10-19,21:00,4
3058898,2028,2025,3-1,9,2019-10-20,14:00,4
3058899,2021,2036,1-0,9,2019-10-20,21:00,4
3058900,2020,2019,2-0,10,2019-10-26,21:00,4
3058901,2017,2016,0-0,10,2019-12-18,20:00,4
3058902,2033,2028,0-1,10,2019-10-27,12:00,4
3058903,7072,2025,1-0,10,2019-10-27,14:00,4
3058904,2053,2027,1-0,10,2019-10-26,16:00,4
3058905,2036,2032,0-1,10,2019-10-27,16:00,4
3058906,2022,2015,3-1,10,2019-10-27,21:00,4
3058907,2021,2039,2-0,10,2019-10-27,18:30,4
3058908,2023,2037,4-1,10,2019-10-25,21:00,4
3058909,2031,2042,2-0,10,2019-10-26,18:30,4
3058910,2037,2020,1-1,11,2019-10-29,19:00,4
3058911,2019,2032,3-0,11,2019-10-30,20:00,4
3058912,2017,2031,5-1,11,2019-10-29,21:15,4
3058913,2025,2033,2-1,11,2019-10-30,21:00,4
3058914,2042,2023,2-1,11,2019-10-31,19:00,4
3058915,2039,7072,3-1,11,2019-10-31,21:15,4
3058916,2027,2022,2-2,11,2019-10-31,19:00,4
3058917,2016,2053,5-0,11,2019-10-30,21:15,4
3058918,2028,2036,1-2,11,2019-10-30,19:00,4
